time,close,high,low,open,volumefrom,volumeto
2018-01-17 04:19:00,956.28,963.31,955.75,963.25,699.36,669115.9
2018-01-17 04:20:00,953.37,957.66,953.37,956.27,595.93,565946.97
2018-01-17 04:21:00,959.93,962.35,953.24,953.24,787.49,755872.47
2018-01-17 04:22:00,960.19,960.79,957.85,959.93,298.01,285461.58
2018-01-17 04:23:00,957.43,960.25,954.08,960.19,942.69,904983.67
2018-01-17 04:24:00,963.25,963.65,958.04,958.04,472.89,455712.8
2018-01-17 04:25:00,956.68,964.88,956.68,963.41,843.76,816966.83
2018-01-17 04:26:00,964.49,964.59,956.19,956.68,840.71,815571.7
2018-01-17 04:27:00,967.5,971.2,964.12,964.12,994.23,958981.54
2018-01-17 04:28:00,961.83,968.86,961.72,967.5,696.6,673018.92
2018-01-17 04:29:00,970.74,975.32,960.2,961.83,1923.69,1861884.08
2018-01-17 04:30:00,980.48,980.67,969.59,970.74,1877.78,1845570.62
2018-01-17 04:31:00,1001.01,1005.43,978.7,980.48,3732.32,3721457.36
2018-01-17 04:32:00,984.43,1001.59,984.35,1001.5,3343.76,3332417.85
2018-01-17 04:33:00,988.76,989.13,982.34,984.12,1094.05,1084392.61
2018-01-17 04:34:00,984.76,988.77,984.6,988.76,535.93,528022.89
2018-01-17 04:35:00,983.41,984.77,979.9,984.75,1045.87,1031357.61
2018-01-17 04:36:00,979.68,984.65,978.99,983.41,971.81,951886.0
2018-01-17 04:37:00,987.18,988.15,980.2,980.2,601.12,591898.47
2018-01-17 04:38:00,983.1,988.59,983.1,987.18,864.43,855247.79
2018-01-17 04:39:00,984.02,985.42,982.85,982.94,911.2,898096.3
2018-01-17 04:40:00,988.69,989.32,983.92,983.92,1228.92,1219755.42
2018-01-17 04:41:00,989.48,990.61,986.57,988.71,442.59,436873.11
2018-01-17 04:42:00,989.86,992.36,989.48,989.48,764.87,762703.95
2018-01-17 04:43:00,990.67,991.59,988.28,989.86,584.37,578338.07
2018-01-17 04:44:00,986.82,990.67,986.68,990.67,580.87,573602.91
2018-01-17 04:45:00,990.85,992.31,986.82,986.82,651.12,646017.09
2018-01-17 04:46:00,991.13,992.59,989.23,990.86,364.79,362700.51
2018-01-17 04:47:00,1001.83,1002.94,991.13,991.13,1323.64,1325228.06
2018-01-17 04:48:00,996.13,1004.34,995.95,1001.83,1064.68,1068368.19
2018-01-17 04:49:00,1000.38,1000.93,994.73,996.13,581.2,581348.32
2018-01-17 04:50:00,1007.13,1007.13,1000.38,1000.87,868.01,875393.16
2018-01-17 04:51:00,998.54,1008.24,998.44,1007.13,1328.85,1330504.07
2018-01-17 04:52:00,1000.34,1002.48,997.38,998.45,871.82,871239.64
2018-01-17 04:53:00,997.03,1002.1,997.03,1000.2,666.37,665530.91
2018-01-17 04:54:00,989.18,997.6,987.81,997.03,1266.89,1257335.7
2018-01-17 04:55:00,991.8,992.71,988.22,990.11,674.04,669072.41
2018-01-17 04:56:00,988.57,992.05,986.12,991.95,663.95,655692.15
2018-01-17 04:57:00,993.39,994.81,987.83,988.57,632.6,629734.54
2018-01-17 04:58:00,992.51,993.39,989.32,993.39,745.2,739032.63
2018-01-17 04:59:00,989.09,992.49,988.06,992.49,443.26,435770.26
2018-01-17 05:00:00,985.84,989.07,984.89,989.07,778.71,773229.79
2018-01-17 05:01:00,985.13,986.64,984.98,985.74,674.56,670543.19
2018-01-17 05:02:00,979.79,985.85,979.74,985.08,830.26,819374.12
2018-01-17 05:03:00,984.32,984.63,979.79,979.79,659.44,647492.5
2018-01-17 05:04:00,979.0,984.33,978.52,983.85,787.32,767194.29
2018-01-17 05:05:00,980.13,982.46,978.8,978.99,493.3,483254.05
2018-01-17 05:06:00,980.26,981.7,979.85,980.13,371.08,361524.61
2018-01-17 05:07:00,978.91,980.64,977.36,980.36,333.56,326328.25
2018-01-17 05:08:00,980.33,982.54,977.58,978.91,561.69,550098.63
2018-01-17 05:09:00,981.56,983.94,979.84,980.35,546.05,537563.44
2018-01-17 05:10:00,977.79,982.9,977.79,981.53,561.22,551013.33
2018-01-17 05:11:00,983.28,983.78,977.81,977.81,511.33,502900.12
2018-01-17 05:12:00,982.68,984.73,979.13,983.28,560.19,546827.01
2018-01-17 05:13:00,981.33,985.35,980.41,982.5,538.54,528330.6
2018-01-17 05:14:00,981.38,981.39,979.97,981.33,418.89,406626.22
2018-01-17 05:15:00,976.69,981.44,975.17,981.38,814.31,798970.4
2018-01-17 05:16:00,965.12,976.69,962.85,976.69,1382.53,1334266.58
2018-01-17 05:17:00,970.78,972.52,956.94,965.24,1624.48,1567549.01
2018-01-17 05:18:00,963.74,973.38,963.11,972.52,1137.47,1103541.24
2018-01-17 05:19:00,972.09,973.15,960.47,963.74,953.22,920063.73
2018-01-17 05:20:00,967.94,974.58,966.8,972.47,526.72,511773.3
2018-01-17 05:21:00,970.39,971.24,963.78,967.94,465.53,452477.66
2018-01-17 05:22:00,967.44,972.59,967.21,970.39,649.33,632571.07
2018-01-17 05:23:00,968.87,971.62,966.95,967.44,381.79,371811.04
2018-01-17 05:24:00,967.6,971.46,966.99,968.87,673.91,653653.41
2018-01-17 05:25:00,966.16,971.37,966.15,967.69,647.26,626693.27
2018-01-17 05:26:00,969.53,971.82,965.14,966.13,608.58,592548.13
2018-01-17 05:27:00,968.95,971.05,968.29,969.63,546.92,526967.78
2018-01-17 05:28:00,974.53,976.39,967.97,968.94,804.33,781626.11
2018-01-17 05:29:00,976.64,979.38,973.97,974.54,672.97,656444.75
2018-01-17 05:30:00,970.95,976.72,968.5,976.69,684.78,665722.21
2018-01-17 05:31:00,970.33,976.59,969.81,970.95,729.09,709123.33
2018-01-17 05:32:00,981.5,981.66,970.32,970.32,599.27,581030.19
2018-01-17 05:33:00,985.04,985.53,978.73,981.5,597.47,589907.99
2018-01-17 05:34:00,993.07,994.75,985.04,985.04,1676.42,1673478.0
2018-01-17 05:35:00,986.16,994.25,985.77,993.07,1112.39,1100323.89
2018-01-17 05:36:00,981.58,986.49,980.2,986.16,686.86,673041.58
2018-01-17 05:37:00,988.62,988.62,979.87,981.58,719.51,710197.13
2018-01-17 05:38:00,984.54,989.96,982.51,988.62,586.58,578676.48
2018-01-17 05:39:00,980.15,985.59,980.03,984.21,592.92,584552.75
2018-01-17 05:40:00,980.58,981.23,978.93,979.67,236.38,231135.24
2018-01-17 05:41:00,981.69,982.17,980.09,980.58,394.51,385646.61
2018-01-17 05:42:00,977.18,981.69,977.18,981.69,586.56,573483.01
2018-01-17 05:43:00,972.5,977.22,971.71,977.18,764.35,750004.4
2018-01-17 05:44:00,980.06,982.46,971.37,972.5,1142.72,1120652.21
2018-01-17 05:45:00,976.51,980.01,973.49,979.66,562.83,547994.56
2018-01-17 05:46:00,972.6,978.02,971.72,976.51,692.0,674673.06
2018-01-17 05:47:00,978.71,978.94,971.66,972.6,554.31,540130.56
2018-01-17 05:48:00,976.93,979.08,975.68,978.4,744.22,729682.86
2018-01-17 05:49:00,979.92,980.63,976.93,976.93,381.14,370930.05
2018-01-17 05:50:00,983.24,984.17,979.92,979.92,485.55,475254.59
2018-01-17 05:51:00,978.29,983.4,977.5,983.24,612.06,600562.42
2018-01-17 05:52:00,981.49,981.51,975.62,978.29,517.66,506198.62
2018-01-17 05:53:00,979.17,982.73,978.36,981.49,297.92,292315.91
2018-01-17 05:54:00,980.57,980.89,979.09,979.17,282.24,275447.79
